Instituição;Código;Conglomerado Prudencial;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento;
BANCO MORGAN STANLEY S.A.;2801938;MORGAN STANLEY - PRUDENCIAL;51413;80628;b1;3;8;SAO PAULO;SP;12/2021;20.323.903;0;17.443.337;11.511.705;2.880.565;207.018;2;0
BANCO C6 S.A.;31872495;BANCO C6 - PRUDENCIAL;52072;84844;b1;2;8;SAO PAULO;SP;12/2021;19.962.293;6.823.406;18.681.361;13.627.305;1.280.932;-399.775;2;0
BANCO HSBC S.A.;53518684;HSBC BI - PRUDENCIAL;;84741;b1;3;8;SAO PAULO;SP;12/2021;19.372.595;2.644.694;18.379.081;6.600.988;993.515;-309;2;0
GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.;4332281;GOLDMAN SACHS - PRUDENCIAL;51585;80714;b2;3;8;SAO PAULO;SP;12/2021;18.933.984;109.197;16.570.956;8.193.522;2.363.028;168.372;2;0
HIPERCARD BANCO MÚLTIPLO S.A.;3012230;ITAU - PRUDENCIAL;10069;80099;b1;2;8;SAO PAULO;SP;12/2021;18.203.871;12.091.109;13.194.621;3.314.313;5.009.249;94.130;2;0
CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A;7450604;CCB - PRUDENCIAL;32119;80295;b1;3;8;SAO PAULO;SP;12/2021;17.370.835;7.655.338;16.244.015;14.377.199;1.126.819;35.040;9;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;;81311;b4;1;5;PORTO ALEGRE;RS;12/2021;17.138.466;13.983.367;13.740.152;12.576.017;3.398.314;136.117;4;0
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU - PRUDENCIAL;10069;80099;n1;2;14;SAO PAULO;SP;12/2021;17.129.867;17.461.347;15.929.829;3.801.152;1.200.038;93.581;2;0
BANCO BRADESCO BERJ S.A.;33147315;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2021;16.149.482;720;12.428.711;11.160.218;3.720.771;69.686;2;0
BANCO CLASSICO S.A.;31597552;BCO CLASSICO S.A. - PRUDENCIAL;;81665;b1;2;8;RIO DE JANEIRO;RJ;12/2021;15.937.242;0;5.973.843;1.496.502;9.963.399;89.861;2;0
BANCO BRADESCO BBI S.A.;6271464;BRADESCO - PRUDENCIAL;10045;80075;b1;2;8;OSASCO;SP;12/2021;15.900.428;0;860.913;0;15.039.515;769.857;4;0
BANCO PINE S.A.;62144175;PINE - PRUDENCIAL;50304;80374;b1;2;8;SAO PAULO;SP;12/2021;15.378.380;4.261.321;14.599.247;12.338.190;779.133;4.103;2;0
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ - PRUDENCIAL;51262;80563;b2;3;8;SAO BERNARDO DO CAMPO;SP;12/2021;15.029.248;14.277.011;12.795.282;12.224.825;2.233.966;77.456;2;0
SANTANDER LEASING S.A. ARRENDAMENTO MERCANTIL;47193149;SANTANDER - PRUDENCIAL;30379;80185;n1;3;19;SAO PAULO;SP;12/2021;14.724.715;2.533.004;3.552.686;624.750;11.172.028;227.477;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;;81407;b2;3;8;CURITIBA;PR;12/2021;14.402.922;13.918.829;12.837.403;12.396.910;1.565.520;121.696;2;0
